tabela,coluna,tipo,dominio
categories,category_id,int,"Mín: 1, Máx: 8"
categories,category_name,string,"Exemplos: ['Dairy Products', 'Meat/Poultry', 'Condiments', 'Beverages', 'Grains/Cereals', 'Seafood', 'Confections', 'Produce']"
categories,description,string,"Exemplos: ['Breads, crackers, pasta, and cereal', 'Sweet and savory sauces, relishes, spreads, and seasonings', 'Seaweed and fish', 'Prepared meats', 'Desserts, candies, and sweet breads', 'Dried fruit and bean curd', 'Cheeses', 'Soft drinks, coffees, teas, beers, and ales']"
categories,picture,string,Exemplos: ['0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E5069637475726500010500000200000007000000504272757368000000000000000000A0290000424D98290000000000005600000028000000AC00000078000000010004000000000000000000880B0000880B0000080000']
categories,data_ingestao,date,"Data Mín: 2025-04-12, Data Máx: 2025-04-12"
customers,customer_id,string,"Exemplos: ['WOLZA', 'MAISD', 'BLAUS', 'MAGAA', 'FOLKO', 'ANATR', 'ISLAT', 'VAFFE', 'BLONP', 'CENTC']"
customers,company_name,string,"Exemplos: ['Princesa Isabel Vinhos', 'Antonio Moreno Taquería', 'HILARION-Abastos', ""Bon app'"", ""La corne d'abondance"", 'Magazzini Alimentari Riuniti', 'Reggiani Caseifici', 'Vaffeljernet', 'Split Rail Beer & Ale', ""B's Beverages""]"
customers,contact_name,string,"Exemplos: ['Aria Cruz', 'Mario Pontes', 'Renate Messner', 'Lúcia Carvalho', 'Antonio Moreno', 'Fran Wilson', 'Martín Sommer', 'Simon Crowther', 'Art Braunschweiger', 'Paolo Accorti']"
customers,contact_title,string,"Exemplos: ['Sales Associate', 'Marketing Manager', 'Assistant Sales Representative', 'Owner/Marketing Assistant', 'Sales Representative', 'Marketing Assistant', 'Accounting Manager', 'Assistant Sales Agent', 'Order Administrator', 'Sales Manager']"
customers,address,string,"Exemplos: ['Ave. 5 de Mayo Porlamar', '90 Wadhurst Rd.', 'Avda. Azteca 123', '54', 'Mehrheimerstr. 369', '120 Hanover Sq.', 'Av. dos Lusíadas', 'Erling Skakkes gate 78', 'Luisenstr. 48', 'Strada Provinciale 124']"
customers,city,string,"Exemplos: [' 891', 'Salzburg', 'San Cristóbal', 'Anchorage', 'Århus', ' 23', 'Cunewalde', 'México D.F.', ' 12', 'Bern']"
customers,region,string,"Exemplos: ['Madrid', 'Québec', 'OR', 'Versailles', 'Lille', 'Nantes', 'Marseille', 'WY', 'BC', 'ID']"
customers,postal_code,string,"Exemplos: ['WX1 6LT', '4980', '44087', '14776', '87110', '59801', '5022', '05033', '05021', '97201']"
customers,country,string,"Exemplos: ['28034', 'Sweden', 'Germany', '67000', 'B-6000', '28001', 'France', '41101', 'Argentina', 'Belgium']"
customers,phone,string,"Exemplos: ['(1) 135-5555', '(5) 555-1340', '035-640230', '(604) 555-4729', '(307) 555-4680', '90-224 8858', '(198) 555-8888', '(206) 555-8257', 'France', '0897-034214']"
customers,fax,string,"Exemplos: ['(11) 555-7647', '(171) 555-3373', '(9) 331-7256', '07-98 92 47', '(1) 354-2535', '78.32.54.86', '0221-0765721', '0241-059428', '(505) 555-3620', '069-0245874']"
customers,data_ingestao,date,"Data Mín: 2025-04-12, Data Máx: 2025-04-12"
employees,employee_id,int,"Mín: 1, Máx: 9"
employees,last_name,string,"Exemplos: ['Peacock', 'King', 'Davolio', 'Buchanan', 'Dodsworth', 'Suyama', 'Fuller', 'Leverling', 'Callahan']"
employees,first_name,string,"Exemplos: ['Margaret', 'Michael', 'Anne', 'Andrew', 'Nancy', 'Janet', 'Robert', 'Laura', 'Steven']"
employees,title,string,"Exemplos: ['Sales Representative', 'Sales Manager', 'Vice President, Sales', 'Inside Sales Coordinator']"
employees,title_of_courtesy,string,"Exemplos: ['Ms.', 'Mr.', 'Mrs.', 'Dr.']"
employees,birth_date,timestamp,"Data Mín: 1937-09-19 00:00:00, Data Máx: 1966-01-27 00:00:00"
employees,hire_date,timestamp,"Data Mín: 1992-04-01 00:00:00, Data Máx: 1994-11-15 00:00:00"
employees,address,string,"Exemplos: ['7 Houndstooth Rd.', '507 - 20th Ave. E. Apt. 2A', 'Coventry House Miner Rd.', '4726 - 11th Ave. N.E.', '908 W. Capital Way', '14 Garrett Hill', 'Edgeham Hollow Winchester Way', '722 Moss Bay Blvd.', '4110 Old Redmond Rd.']"
employees,city,string,"Exemplos: ['London', 'Kirkland', 'Redmond', 'Seattle', 'Tacoma']"
employees,region,string,"Exemplos: ['WA', 'NULL']"
employees,postal_code,string,"Exemplos: ['98033', 'WG2 7LT', 'EC2 7JR', 'RG1 9SP', 'SW1 8JR', '98401', '98052', '98105', '98122']"
employees,country,string,"Exemplos: ['USA', 'UK']"
employees,home_phone,string,"Exemplos: ['(206) 555-9482', '(206) 555-3412', '(71) 555-5598', '(206) 555-8122', '(206) 555-9857', '(71) 555-4444', '(206) 555-1189', '(71) 555-7773', '(71) 555-4848']"
employees,extension,int,"Mín: 428, Máx: 5467"
